,Cae,Cbe,Cce,Cde,Te,Ea1,k01,Ea2,k02,dHr,rho,Cp,t_spacial,Ca,Cb,Cc,Cd,T
0,3.5848775848932948,4.259773792913666,0.047312667285382665,0.0046099257938816895,424.1370229927711,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,4682.336535138972,1.1329463941771456,1.807842602197517,2.499243858001532,2.456541116510031,435.03449495150954
1,2.488400209743409,3.858526804564324,0.08694081393355368,0.0047857876454333505,366.5791831263448,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,4279.256780713564,1.1139694010624634,2.484095995883379,1.461371622614499,1.3792165963263787,372.6877644982601
2,2.191065549825996,2.178129347379369,0.0006860590625318419,0.08359782910954824,403.1072836621211,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,3585.228379712985,0.9902482889416011,0.9773120864949744,1.2015033199469265,1.2844150899939428,408.44424926605177
3,3.8372069912989013,1.551190884103809,0.09950087370834734,0.10329724758853606,345.5438816985322,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,3504.2315032832644,3.270099801336855,0.9840836941417626,0.6666080636703937,0.6704044375505824,348.06435809836347
4,3.765044250069318,2.290206046109065,0.004334187637552003,0.04872550658920406,400.3292581014386,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,3925.728216454456,2.1632608530235653,0.688422649063312,1.606117584683305,1.6505089036349572,407.44829542164194
5,1.1427181755472515,1.1771788822993845,0.10152223420193232,0.01741866992659416,404.90269955047813,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,3813.358974395009,0.5647591905082396,0.5992198972603726,0.6794812192409442,0.595377654965606,407.47140615065155
6,1.0129279357377687,2.438169500521311,0.0005595666722349446,0.09594981983955507,337.4048710246319,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,3476.614978283338,0.8115071497412089,2.236748714524751,0.20198035266879477,0.2973706058361149,338.30007451794995
7,3.6833639098710753,4.191550429387275,0.03773469583001592,0.032439151025780155,407.45186473307274,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,4892.925509082611,1.306692740883415,1.8148792603996151,2.414405864817676,2.4091103200134403,418.01484770635125
8,2.2158770053945744,4.171196808762264,0.05488857664290515,0.004440038843766535,442.04797374394934,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,4943.424380333809,0.41500051924696957,2.37032032261466,1.85576506279051,1.8053165249913712,450.0518692379387
9,2.814128507150762,4.898779015777488,0.001961611271505851,0.04882269254011556,377.2966871969079,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,3939.4758974854444,0.9777145545813543,3.0623650632080803,1.8383755638409136,1.8852366451095233,385.45852698610526
10,1.6073948176316917,1.024015144746942,0.06513127487280036,0.032634565288508034,444.9804102356514,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,4545.440932986323,0.8475783889413492,0.26419871605659967,0.8249477035631428,0.7924509939788505,448.3573721409418
11,4.954506565621119,1.0449818292935047,0.00430124156888556,0.03362751362118777,443.0024053108599,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,3965.7398093049615,3.9928899969045664,0.08336526057695179,0.9659178102854383,0.9952440823377406,447.2762567273779
12,1.6047992097784969,4.932494178618941,0.03682557050706729,0.03411765839573289,440.8227288213331,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,4666.729000945158,0.18794590758291044,3.5156408764233547,1.4536788727026535,1.4509709605913195,447.11985460886905
13,1.7266403880182575,0.9612761048159184,0.0006687256181436552,0.07084355472383405,441.6823308699556,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,4021.962680007182,0.9906501988846459,0.22528591568230683,0.7366589147517553,0.8068337438574457,444.9533983772161
14,3.0865088410027735,3.719466572882376,0.07865856203868678,0.10467095369578443,399.39010855252576,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,3469.7696650482403,1.1813511669817194,1.814308898861322,1.983816236059741,2.0098286277168382,407.85747599261936
15,2.212853104337673,2.2327625165221057,0.03574377959187293,0.087543349568644,437.03051262750154,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,4523.4193278502335,0.8217375327174165,0.8416469449018489,1.4268593512121297,1.4786589211889007,443.2132485013693
16,4.363030647778559,0.9156458878670619,0.053877380696399815,0.10017913700048639,401.72765520174426,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,3559.3507860909604,3.6019825378496884,0.1545977779381911,0.8149254906252706,0.8612272469293573,405.1100912458726
17,0.8708411333207766,4.262961067709393,0.021108289116329913,0.0003132252790867807,359.14115037469315,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,3590.4447358115017,0.37575470513730125,3.767874639525918,0.5161947172998053,0.4953996534625622,361.34153449995307
18,4.826790259552581,4.918391304366106,0.10356296864416883,0.03813178981842269,443.8076011996664,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,3794.3560167328296,1.6363091465559605,1.7279101913694856,3.29404408164079,3.228612902815043,457.98751725742915
19,4.998444746232943,2.283824968420519,0.035284450001947805,0.06493902159870572,383.12124520362397,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,3986.622058339181,3.3737856451443275,0.6591658673319036,1.6599435510905631,1.6895981226873211,390.34195231957335
20,2.2520658225514723,4.446073017602701,0.03473469428566858,0.08268924513785698,362.82407872463807,53000.0,5000.0,40769.230769230766,50.0,200000.0,900.0,50,4672.332897753506,0.9225460017088944,3.116553196760123,1.3642545151282461,1.4122090659804345,368.73305570616066
