,Cae,Cbe,Cce,Cde,Te,Ea1,k01,Ea2,k02,dHr,rho,Cp,t_spacial,Ca,Cb,Cc,Cd,T
0,1.1179706138893537,3.611531484838814,0.1037917499110094,0.0851457056771421,385.2181518062688,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,4009.3163478270912,0.3357986807602355,2.829359551709696,0.8859636830401275,0.8673176388062601,385.2181518062688
1,2.328426878768144,4.234996475323629,0.0016006296042957,0.0027724413509773,439.8959880466642,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,5083.971672073739,0.4719576994915433,2.3785272960470287,1.858069808880896,1.8592416206275777,439.8959880466642
2,3.608413151074558,3.092086928379489,0.0858727093271535,0.0318759687344534,345.11784898730343,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,4370.753203186311,2.6222156037382818,2.105889381043213,1.0720702566634297,1.0180735160707295,345.11784898730343
3,5.13452535827296,4.98596173528353,0.0134185048897471,0.0453713390774442,423.6690792759581,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,3543.218935885926,2.020904064424881,1.8723404414354503,3.127039798737826,3.158992632925523,423.6690792759581
4,3.5051914729773523,2.3002543707516905,0.0312852894493075,0.0831484772925548,377.5871644302979,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,3579.578816774084,2.2504761816062504,1.0455390793805883,1.2860005808204094,1.3378637686636567,377.5871644302979
5,4.466310964347271,3.5297609129666814,0.016042512106916,0.0538617872981265,426.744374192548,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,4999.631985574865,2.0296300099437743,1.0930799585631843,2.452723466510413,2.490542741701624,426.744374192548
6,2.214724174564231,4.349381286259835,0.0193941781545872,0.0520969975642741,443.1065855046891,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,3531.513111698877,0.4282242239584531,2.562881335654057,1.805894128760365,1.838596948170052,443.1065855046891
7,3.5929407743005206,1.6702548017898735,0.0700096401559698,0.095450212721522,404.6268111654896,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,4522.842380406015,2.360858394282389,0.4381724217717417,1.3020920201741015,1.3275325927396535,404.6268111654896
8,4.923367455910165,1.6642079606258036,0.0953621652060322,0.1017380769061778,448.7152517183543,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,4646.705760540128,3.469996001694767,0.2108365064104051,1.5487336194214307,1.5551095311215763,448.7152517183543
9,3.066807268789844,2.83310510104907,0.0167236912799437,0.035082604704637,408.3038823556138,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,3473.316716034121,1.3995182808338351,1.1658161130930618,1.6840126792359522,1.7023715926606455,408.3038823556138
10,3.818574408913446,4.210832310406101,0.0294510694562542,0.0123825214045911,328.3948044406979,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,3502.7807805556954,3.1305898186444776,3.522847720137132,0.7174356597252226,0.7003671116735596,328.3948044406979
11,1.7867980647731314,4.258365288097687,0.0030462115978973,0.0703477944644785,338.24759471879287,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,3475.322409159676,1.2725527507182175,3.744119974042773,0.5172915256528109,0.5845931085193922,338.24759471879287
12,3.008320394814353,4.956298983570653,0.0637313971771195,0.0847202618788754,426.6413981103444,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,3386.8052383615664,0.7692584155273922,2.717237004283692,2.30279337646408,2.323782241165836,426.6413981103444
13,3.0115656284873733,3.585529703349104,0.0842848600268506,0.0865193674583462,398.67508798921887,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,3352.8340414531613,1.2520606715483753,1.8260247464101056,1.8437898169658489,1.846024324397344,398.67508798921887
14,2.364855312072917,4.197402866692345,0.0021275048453218,0.0335597904385775,424.6699213435128,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,3570.2969476411536,0.5729215998151527,2.4054691544345803,1.794061217103087,1.8254935026963424,424.6699213435128
15,4.26570608258184,3.857033623200397,0.0981509919293639,0.0461360186021969,327.0084952370396,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,3591.604339342844,3.593697912319576,3.185025452938133,0.770159162191628,0.7181441888644611,327.0084952370396
16,3.1602405426024576,0.8424603966733155,0.1045930612380768,0.0147795017032373,385.7766846713444,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,3305.466941973414,2.5881246805186726,0.2703445345895306,0.6767089233218616,0.5868953637870222,385.7766846713444
17,2.521065789581145,2.902193211372364,0.0456361768730953,0.079755569921482,420.6237223646294,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,3292.0893972388976,0.9448477121595902,1.3259751339508083,1.6218542542946506,1.655973647343037,420.6237223646294
18,1.6631212094785752,0.8457353162547486,0.0809914282791459,0.051868488091882,385.1383068823996,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,4969.304512053723,1.1836613549438812,0.3662754617200546,0.5604512828138399,0.531328342626576,385.1383068823996
19,1.6538003914501982,1.151473059634356,0.0850631580975939,0.0617378730153885,341.21038190913447,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,3319.125054050045,1.4762191828491589,0.9738918510333168,0.2626443666986333,0.239319081616428,341.21038190913447
20,4.850452011837899,3.0302085315622485,0.0476403371212722,0.0961591884206417,406.8739205229989,53000.0,5000.0,40769.230769230766,50.0,150000.0,1100.0,600,3747.436416863132,2.7343189195491533,0.9140754392735024,2.163773429410018,2.212292280709388,406.8739205229989
