,Cae,Cbe,Cce,Cde,T,Ea1,k01,Ea2,k02,t_espacial,Ca,Cb,Cc,Cd
886,1.2843990280773792,2.627823995976378,0.08646998431226877,0.05299854906124445,342.49631740256524,53000.0,5000.0,40769.230769230766,50.0,4646.893455522844,0.9151407447541684,2.2585657126531675,0.4557282676354795,0.4222568323844552
887,2.733200263407404,0.9558713972254861,0.01693889902859706,0.032743373739482245,336.71244226108433,53000.0,5000.0,40769.230769230766,50.0,3743.5079588879585,2.525843135495683,0.7485142693137653,0.22429602694031778,0.24010050165120297
888,3.041697882907968,1.0896093894393777,0.003940081958718009,0.03396591678398839,339.31006465089183,53000.0,5000.0,40769.230769230766,50.0,3705.8853926984984,2.7627924478322914,0.8107039543637009,0.28284551703439476,0.3128713518596651
889,1.716820692282506,3.0878922091762315,0.014983403801935523,0.03717928131534066,335.40597247364565,53000.0,5000.0,40769.230769230766,50.0,4932.511699011987,1.2766150670060126,2.647686583899738,0.4551890290784289,0.47738490659183397
890,3.011938490886952,2.919022942217288,0.06651085895586911,0.03135235636136834,323.54095405774564,53000.0,5000.0,40769.230769230766,50.0,4283.379488375526,2.627042099081164,2.5341265504115,0.4514072507616572,0.41624874816715646
891,1.3095640685373175,1.2832274534795,0.04929577796967082,0.031220312721968697,336.93289403664465,53000.0,5000.0,40769.230769230766,50.0,5092.626921918457,1.1247827305606508,1.0984461155028333,0.23407711594633765,0.21600165069863553
892,2.3918369123812013,2.056616565287248,0.054579118754342265,0.03758779261065187,338.6727610341159,53000.0,5000.0,40769.230769230766,50.0,3503.1070414551205,2.0126304506859376,1.6774101035919846,0.4337855804496059,0.4167942543059155
893,1.7149300397049438,1.3528220560914266,0.06836915215350664,0.07841191788613776,336.207376726345,53000.0,5000.0,40769.230769230766,50.0,5066.302593955561,1.4813026546972323,1.119194671083715,0.3019965371612181,0.31203930289384924
894,1.012052160915919,2.9344678818395105,0.04703062842119007,0.08431906210930908,323.8482629783003,53000.0,5000.0,40769.230769230766,50.0,3780.144414470079,0.8818773800066704,2.804293100930262,0.17720540933043863,0.21449384301855762
895,2.0228993065551384,1.7490595860208544,0.06897181490445747,0.012971683022342447,343.8749660973743,53000.0,5000.0,40769.230769230766,50.0,4652.283494910742,1.6091625565302285,1.3353228359959446,0.4827085649293673,0.4267084330472523
896,1.0409561454276215,1.9833631864830694,0.08083306080698423,0.012462326856143572,332.8690177675789,53000.0,5000.0,40769.230769230766,50.0,3987.421035996577,0.8879469143170386,1.8303539553724866,0.23384229191756709,0.1654715579667264
897,2.3442464203382314,2.24663245132052,0.08455377034256446,0.018314783131045988,329.672745350119,53000.0,5000.0,40769.230769230766,50.0,3496.679169976224,2.066227885914189,1.9686139168964776,0.3625723047666068,0.29633331755508835
898,2.9354998615708703,2.5732668811880037,0.018948879325661656,0.014519066120272633,328.6732997270856,53000.0,5000.0,40769.230769230766,50.0,5058.429828165711,2.4622554587684378,2.100022478385571,0.49219328212809427,0.4877634689227053
899,2.978540634696938,2.09187959765954,0.06323454348780272,0.00433794945427637,342.69409263070406,53000.0,5000.0,40769.230769230766,50.0,4282.368548571429,2.3885388571620463,1.5018778201246485,0.6532363210226944,0.594339726989168
900,2.963139086736294,1.981914978476434,0.001664429830208226,0.08208391445635624,335.44283656959817,53000.0,5000.0,40769.230769230766,50.0,3562.8869131576985,2.5715088325432136,1.5902847242833533,0.3932946840232888,0.4737141686494369
901,1.06777180231343,2.9717010597182427,0.08649482291242314,0.0513612941793424,343.7449642676716,53000.0,5000.0,40769.230769230766,50.0,4246.094178841349,0.7298111099887692,2.6337403673935817,0.42445551523708397,0.3893219865040032
902,2.9794876174948324,2.2612038740320224,0.08531299033246727,0.08141538899472231,328.90818426826945,53000.0,5000.0,40769.230769230766,50.0,3708.3010960659967,2.6332954905267516,1.9150117470639416,0.4315051173005481,0.4276075159628031
903,2.732511620036315,1.2818416571301539,0.032974951019988305,0.10105254326473548,323.96428277433483,53000.0,5000.0,40769.230769230766,50.0,3984.918825908692,2.5717375624399894,1.1210675995338284,0.1937490086163137,0.26182660086106085
