,Cae,Cbe,Cce,Cde,Q,Ea1,k01,Ea2,k02,V,Ca,Cb,Cc,Cd,T
318,2428.0108357852077,3037.5009764070637,85.63401187832713,53.653012410224136,0.0012198806571442258,100000.0,50000000.0,76923.07692307692,50.0,0.5,2423.316467660373,3032.806608282229,90.32838000316208,58.347380535059095,316.46420908972794
319,2948.7313663919845,3067.694093320536,48.25287872471839,2.599560518397197,7.318340658778999e-05,100000.0,50000000.0,76923.07692307692,50.0,0.5,2945.2065379921346,3064.169264920686,51.77770712456815,6.1243889182469555,291.14400462545086
320,1928.081613561403,2263.4791250563417,17.45710251711516,0.2259532448710433,0.0014783189316682234,100000.0,50000000.0,76923.07692307692,50.0,0.5,1779.5208350654343,2114.9183465603733,166.01788101308375,148.78673174083966,357.00543289549915
321,1383.0513996863551,2670.829073924346,81.14661135856741,69.52685031888589,0.0001672803614826573,100000.0,50000000.0,76923.07692307692,50.0,0.5,1382.0980056993067,2669.8756799372977,82.10000534561593,70.4802443059344,294.08742873066024
322,2627.4943396910744,1575.7430373265074,65.74627307780804,78.65793289546022,0.0005276310327333728,100000.0,50000000.0,76923.07692307692,50.0,0.5,2441.3730588002313,1389.6217564356643,251.8675539686512,264.7792137863034,349.728211392595
323,1314.9326820811812,1619.7470786439985,2.8985159284327042,98.50870955340244,0.0008201900437249601,100000.0,50000000.0,76923.07692307692,50.0,0.5,1137.8211214989321,1442.6355180617495,180.0100765106818,275.62027013565154,361.4739176411081
324,1255.5947426208031,2422.8525520985427,82.76207184978853,3.5852766966819827,0.00030372017393680604,100000.0,50000000.0,76923.07692307692,50.0,0.5,910.0854512151392,2077.3432606928786,428.27136325545246,349.09456810234593,356.47780603592827
325,2639.727035420757,2295.8292790264727,33.64329205073817,61.75167259644223,0.0010463948962779759,100000.0,50000000.0,76923.07692307692,50.0,0.5,2638.177355292151,2294.2795988978664,35.192972179344515,63.30135272504858,307.81777452576557
326,2410.3084898101565,1252.9882929905568,13.799321172379484,100.51498200168233,0.0015325995995525228,100000.0,50000000.0,76923.07692307692,50.0,0.5,2410.2381635456823,1252.9179667260823,13.869647436853878,100.58530826615672,292.71747069492983
327,1950.5241974280823,1000.8002891732059,62.47196639726047,54.03622324185295,0.0010749536591227317,100000.0,50000000.0,76923.07692307692,50.0,0.5,1943.1415743581185,993.417666103242,69.8545894672243,61.41884631181678,330.9466572060979
328,2089.190834356249,2593.8892561462985,33.49893108889712,19.157129228479782,0.0012225531405879923,100000.0,50000000.0,76923.07692307692,50.0,0.5,2088.9785759493975,2593.676997739447,33.71118949574865,19.36938763533131,294.82751448063743
329,2033.9595047566265,2395.0766796958255,34.85076136553834,14.482128574912263,0.0012137424653554311,100000.0,50000000.0,76923.07692307692,50.0,0.5,1434.9310949628004,1796.0482699019994,633.8791711593645,613.5105383687385,374.52501266060096
330,2062.8686065522543,1929.7541807567334,85.19427867050946,17.53126309595873,0.0015608114249066726,100000.0,50000000.0,76923.07692307692,50.0,0.5,1735.494630883861,1602.38020508834,412.5682543389029,344.90523876435213,369.5886423648556
331,1346.0455115797724,1029.81597160984,65.2504822609362,99.45894435460384,0.0007827068691428189,100000.0,50000000.0,76923.07692307692,50.0,0.5,1345.774201306526,1029.5446613365937,65.52179253418261,99.73025462785026,303.4806628924448
332,2576.7360735506822,1361.5509241277862,3.3235946784866224,0.0575567877719807,0.00026640185535158685,100000.0,50000000.0,76923.07692307692,50.0,0.5,2086.0734082092968,870.8882587864008,493.986260019872,490.7202221291573,359.24156279803003
333,2275.285051145283,2259.1324326670347,97.85405491694013,17.882786355652236,0.00121760629085483,100000.0,50000000.0,76923.07692307692,50.0,0.5,1767.81377892313,1751.6611604448817,605.3253271390932,525.3540585778053,370.5288877703352
334,2390.991962207107,2401.2832407657347,81.17438559130699,15.043799537188757,0.00033778827971237414,100000.0,50000000.0,76923.07692307692,50.0,0.5,1603.5841756914426,1613.8754542500703,868.5821721069714,802.4515860528531,363.11139269975797
335,2287.738949374155,1918.1265903006756,12.83552198093098,45.93775854052308,0.0011979964001863905,100000.0,50000000.0,76923.07692307692,50.0,0.5,2275.588364524926,1905.976005451447,24.986106830159617,58.088343389751714,329.10915306107944
336,2044.4895383985465,1043.6513600254204,38.13701166901121,78.6724800351966,0.00010153620463580553,100000.0,50000000.0,76923.07692307692,50.0,0.5,1950.727199802007,949.8890214288808,131.89935026555082,172.43481863173622,332.9895302133027
337,2095.527915419217,1060.3186712448469,63.490608976276484,36.22250739302478,0.000608159500249142,100000.0,50000000.0,76923.07692307692,50.0,0.5,2082.672581006857,1047.463336832487,76.34594338863647,49.07784180538476,329.7012113825151
338,2360.7018270037656,903.2673866749685,19.646142996223215,15.937537384833282,0.0009813728763934592,100000.0,50000000.0,76923.07692307692,50.0,0.5,2360.031799839559,902.5973595107617,20.316170160429976,16.607564549040042,308.937862871597
339,919.56655512694,1252.805652644787,84.0396624313057,3.2452149396570897,0.0003446704741075107,100000.0,50000000.0,76923.07692307692,50.0,0.5,919.4196813182978,1252.6587788361446,84.18653623994793,3.3920887482993214,294.2084623688822
340,2259.5349268109944,3051.3866391784914,101.20742231719413,3.4452518058326844,0.0014315732891897702,100000.0,50000000.0,76923.07692307692,50.0,0.5,1628.5921420677485,2420.4438544352456,732.1502070604399,634.3880365490785,372.1145347745568
341,1765.3657930949862,2036.0953875857372,104.65332209229706,16.501067058455924,0.0010558076940029998,100000.0,50000000.0,76923.07692307692,50.0,0.5,1691.9202243053385,1962.6498187960894,178.0988908819448,89.9466358481037,347.55752163678073
342,1347.7306196036934,1991.832477840839,48.28386753581383,103.12042984864516,0.0005015107690960837,100000.0,50000000.0,76923.07692307692,50.0,0.5,1309.9016382319019,1954.0034964690474,86.11284890760543,140.94941122043673,336.4023446402515
343,2257.2286923841525,2297.3548688234023,62.07300283812454,21.487476617110325,0.0008410139597323311,100000.0,50000000.0,76923.07692307692,50.0,0.5,1886.5149879295197,1926.6411643687695,432.7867072927573,392.20118107174306,361.1356913102182
344,1934.3683014432988,2997.034706485985,69.48396079348106,67.75966071141193,0.0009650934685529849,100000.0,50000000.0,76923.07692307692,50.0,0.5,1904.4728507070254,2967.139255749712,99.37941152975448,97.65511144768534,332.93143601516215
