,Cae,Cbe,Cce,Cde,T,Q,k1,k2,Ca,Cb,Cc,Cd
0,2553.90095823587,2829.790022373004,0,0,354.6759669309175,0.008258950907027782,0.012320215380145855,0,27.872854024557142,303.7619181616913,2526.028104211313,2526.028104211313
1,2805.832662127438,2308.554093529697,0,0,349.0201976570288,0.008125004385142546,0.007778677472658302,0,520.2241556499412,22.945587052200167,2285.608506477497,2285.608506477497
2,2559.2959454503016,2334.2947196220143,0,0,369.0124054893409,0.00806110958366211,0.03710476914131606,0,235.7094380338605,10.708212205573407,2323.586507416441,2323.586507416441
3,2024.0961614369444,2470.21888188033,0,0,367.10697197474815,0.008333824131949052,0.03220672583355328,0,5.778482289616666,451.9012027330023,2018.31767914733,2018.31767914733
4,2031.5811662084004,2671.095644160809,0,0,355.16978102779757,0.00844013836335693,0.012816032462202868,0,10.243612021233035,649.758089973642,2021.3375541871671,2021.3375541871671
5,2583.2168622870577,2331.808274805822,0,0,328.51169456481676,0.008168236252548793,0.0012854245823609052,0,416.63282320059807,165.22423571936235,2166.5840390864596,2166.5840390864596
6,2915.3273485772497,2319.172409303731,0,0,364.0148517416352,0.008268323888126155,0.025515404974846726,0,602.376274555817,6.221335282298879,2312.951074021432,2312.951074021432
7,2862.706711842914,2761.140925968986,0,0,326.2592019848142,0.00836003174894957,0.0010403573064383786,0,371.2252141560845,269.6594282821557,2491.4814976868297,2491.4814976868297
8,2046.366276050103,2685.53127489188,0,0,326.8909388051532,0.00843834856972885,0.001104268224314704,0,100.5126186721422,739.6776175139191,1945.8536573779609,1945.8536573779609
9,2125.599053843362,2891.6487033442663,0,0,357.976927852056,0.008090759702719174,0.016005273309000177,0,6.927762507571888,772.977412008476,2118.6712913357896,2118.6712913357896
10,2989.9568175337567,2901.8096685068713,0,0,360.46278084823905,0.008146248397377131,0.019429946119138553,0,133.1313055192765,44.98415649239108,2856.82551201448,2856.82551201448
11,2100.928707661565,2937.628602144012,0,0,344.0973772999139,0.00847725218300341,0.005149090334655467,0,19.99523418155701,856.6951286640038,2080.933473480008,2080.933473480008
12,2536.216220815276,2310.049386425347,0,0,365.52988011615713,0.008393134271295496,0.028613651250908378,0,240.1868685366767,14.020034146747907,2296.0293522785887,2296.0293522785887
13,2081.775350103776,2446.34582042163,0,0,349.89168051015963,0.008335824067673189,0.008357949321466376,0,26.229580833587036,390.8000511514411,2055.545769270189,2055.545769270189
14,1957.1036058197888,2315.1928082519967,0,0,353.0470710923989,0.008202582422566424,0.010808263831497501,0,19.473603178698575,377.56280561090637,1937.6300026410902,1937.6300026410902
15,2037.1443025191738,2950.37670557759,0,0,369.5926381037799,0.008038008896765375,0.03872811376932034,0,2.3064559567321714,915.5388590151487,2034.837846562752,2034.8378465627518
16,2167.7081142538364,2107.4705361869596,0,0,325.5343565827005,0.008436776693352334,0.00097129368273558,0,315.3489455279718,255.1113674610951,1852.3591687258647,1852.3591687258647
17,2856.7913963194997,2626.056682567802,0,0,366.70253742766005,0.00806563855338452,0.031247434835777382,0,244.52246708835335,13.787753336655127,2612.2689292311466,2612.2689292311466
18,2635.6588123498873,2668.4054890944835,0,0,364.7123427964831,0.008181881775158653,0.026900935998919833,0,48.45381626027769,81.20049300487412,2587.2049960896093,2587.2049960896093
19,2586.020822667819,2349.21326651386,0,0,340.8226240640582,0.008354093825294895,0.0038875226150429758,0,314.4321266514431,77.62457049748409,2271.588696016376,2271.588696016376
20,2440.018696968374,2059.162784878495,0,0,358.573462564779,0.008208038073915446,0.01677170587030267,0,393.5791871653139,12.723275075435033,2046.4395098030604,2046.4395098030602
21,2814.2295819118685,2447.835913270542,0,0,323.4307080710764,0.008318468143979494,0.0007943556966482379,0,571.7540985823158,205.3604299409893,2242.4754833295524,2242.4754833295524
22,2094.1871519115675,2250.8080198841935,0,0,332.3110051397902,0.00844392105572837,0.0018246232968413924,0,147.891852192803,304.5127201654289,1946.2952997187645,1946.2952997187645
23,2733.935270569822,2580.4499545615568,0,0,332.15780297908617,0.00813998264340055,0.0017993110543831356,0,322.57537067212047,169.09005466385523,2411.359899897702,2411.359899897702
24,2020.6509719986582,2779.048506237632,0,0,335.94147610076755,0.008363960002000438,0.0025311881688690366,0,40.920767607709344,799.3183018466832,1979.7302043909485,1979.7302043909483
25,2464.972494289615,2640.8642613709376,0,0,328.01590794401255,0.008288808723320957,0.001227255748646012,0,202.13968356126784,378.0314506425903,2262.8328107283473,2262.8328107283473
26,2532.9627797212966,2520.9946427677487,0,0,367.88213658731496,0.008133004839541947,0.03412210991866265,0,60.59408990183312,48.62595294828539,2472.3686898194633,2472.3686898194633
27,2613.0943426853505,2466.809331712815,0,0,352.63607819362795,0.008064931635574481,0.010455042069816931,0,194.2994955890794,48.014484616544586,2418.7948470962706,2418.7948470962706
28,2668.851498841674,2528.023720871514,0,0,326.7187234692833,0.008003721030806954,0.0010864910918976381,0,369.8106662163018,228.9828882461415,2299.0408326253723,2299.0408326253723
29,2442.446586155915,2114.3004089832516,0,0,323.235996208805,0.00849305354390322,0.0007796035957399497,0,526.4088352995757,198.2626581269121,1916.0377508563395,1916.0377508563395
30,2721.553600426149,2560.7019242066126,0,0,341.7592084317573,0.008293917750587859,0.004215221602081029,0,255.71801012178588,94.86633390224954,2465.835590304363,2465.835590304363
31,3027.423368943422,2288.3823175036055,0,0,366.12369324819844,0.008302438867036431,0.0299204771035291,0,743.3044813755478,4.263429935731411,2284.1188875678695,2284.1188875678695
