,Cae,Cbe,Cce,Cde,T,Q,k1,k2,Ca,Cb,Cc,Cd
0,2553.90095823587,2829.790022373004,0,0,354.6759669309175,0.008258950907027782,0.012320215380145855,0.0003309229493365656,270.39600778593217,546.2850719230659,2283.504950449938,2283.504950449938
1,2805.832662127438,2308.554093529697,0,0,349.0201976570288,0.008125004385142546,0.007778677472658302,0.0002323281632801066,701.488110457831,204.20954186008984,2104.3445516696074,2104.3445516696074
2,2559.2959454503016,2334.2947196220143,0,0,369.0124054893409,0.00806110958366211,0.03710476914131606,0.0007727577578999386,441.6656279989734,216.66440217068595,2117.63031745134,2117.63031745134
3,2024.0961614369444,2470.21888188033,0,0,367.10697197474815,0.008333824131949052,0.03220672583355328,0.0006930245781431601,135.9798057660776,582.1025262094635,1888.1163556715424,1888.1163556715424
4,2031.5811662084004,2671.095644160809,0,0,355.16978102779757,0.00844013836335693,0.012816032462202868,0.0003411205515717133,132.45517453943268,771.9696524918415,1899.125991668968,1899.125991668968
5,2583.2168622870577,2331.808274805822,0,0,328.51169456481676,0.008168236252548793,0.0012854245823609052,5.816633941079942e-05,626.853652136082,375.4450646548465,1956.3632101509754,1956.3632101509754
6,2915.3273485772497,2319.172409303731,0,0,364.0148517416352,0.008268323888126155,0.025515404974846726,0.0005793559549023602,744.5773560833567,148.42241680983824,2170.7499924939,2170.7499924939
7,2862.706711842914,2761.140925968986,0,0,326.2592019848142,0.00836003174894957,0.0010403573064383786,4.943187188392766e-05,625.4862714616481,523.9204855877199,2237.2204403812657,2237.2204403812657
8,2046.366276050103,2685.53127489188,0,0,326.8909388051532,0.00843834856972885,0.001104268224314704,5.1751628563111404e-05,248.19537426680358,887.3603731085809,1798.1709017832993,1798.1709017832993
9,2125.599053843362,2891.6487033442663,0,0,357.976927852056,0.008090759702719174,0.016005273309000177,0.0004047118856104818,120.40975661107717,886.4594061119813,2005.1892972323028,2005.1892972323028
10,2989.9568175337567,2901.8096685068713,0,0,360.46278084823905,0.008146248397377131,0.019429946119138553,0.0004698094297665018,448.3778073108739,360.23065828398836,2541.5790102228834,2541.5790102228834
11,2100.928707661565,2937.628602144012,0,0,344.0973772999139,0.00847725218300341,0.005149090334655467,0.00016915106668784037,144.54847266635042,981.2483671487972,1956.3802349952148,1956.3802349952148
12,2536.216220815276,2310.049386425347,0,0,365.52988011615713,0.008393134271295496,0.028613651250908378,0.0006327479060468816,448.1447256521079,221.97789126217864,2088.0714951629016,2088.0714951629016
13,2081.775350103776,2446.34582042163,0,0,349.89168051015963,0.008335824067673189,0.008357949321466376,0.00024552584795629065,200.56066151743929,565.131131835293,1881.214688586337,1881.214688586337
14,1957.1036058197888,2315.1928082519967,0,0,353.0470710923989,0.008202582422566424,0.010808263831497501,0.00029921723624547127,176.71570735598138,534.8049097881891,1780.3878984638075,1780.3878984638075
15,2037.1443025191738,2950.37670557759,0,0,369.5926381037799,0.008038008896765375,0.03872811376932034,0.0007986352215077923,81.35054298640883,994.5829460448252,1955.7937595325925,1955.7937595325925
16,2167.7081142538364,2107.4705361869596,0,0,325.5343565827005,0.008436776693352334,0.00097129368273558,4.688775045943098e-05,488.358826999414,428.12124893253724,1679.3492872544223,1679.3492872544223
17,2856.7913963194997,2626.056682567802,0,0,366.70253742766005,0.00806563855338452,0.031247434835777382,0.0006770908436261707,486.9370788309045,256.20236507920697,2369.8543174886054,2369.8543174886054
18,2635.6588123498873,2668.4054890944835,0,0,364.7123427964831,0.008181881775158653,0.026900935998919833,0.0006034076370110431,333.7971306685721,366.54380741316834,2301.8616816813155,2301.8616816813155
19,2586.020822667819,2349.21326651386,0,0,340.8226240640582,0.008354093825294895,0.0038875226150429758,0.00013626499126070198,544.9834440993639,308.1758879454049,2041.037378568455,2041.0373785684553
20,2440.018696968374,2059.162784878495,0,0,358.573462564779,0.008208038073915446,0.01677170587030267,0.0004195388879305603,551.1652272020517,170.30931511217258,1888.8534697663224,1888.8534697663224
21,2814.2295819118685,2447.835913270542,0,0,323.4307080710764,0.008318468143979494,0.0007943556966482379,4.0167814703029144e-05,775.2652502471311,408.8715816058043,2038.9643316647375,2038.9643316647373
22,2094.1871519115675,2250.8080198841935,0,0,332.3110051397902,0.00844392105572837,0.0018246232968413924,7.615390991389336e-05,340.16891839367986,496.789786366306,1754.0182335178874,1754.0182335178874
23,2733.935270569822,2580.4499545615568,0,0,332.15780297908617,0.00813998264340055,0.0017993110543831356,7.533994655988885e-05,576.354394343006,422.8690783347403,2157.580876226816,2157.580876226816
24,2020.6509719986582,2779.048506237632,0,0,335.94147610076755,0.008363960002000438,0.0025311881688690366,9.795786144417799e-05,174.19403812667682,932.5915723656507,1846.4569338719814,1846.4569338719814
25,2464.972494289615,2640.8642613709376,0,0,328.01590794401255,0.008288808723320957,0.001227255748646012,5.6130812475993e-05,428.0768273754612,603.9685944567833,2036.8956669141544,2036.8956669141544
26,2532.9627797212966,2520.9946427677487,0,0,367.88213658731496,0.008133004839541947,0.03412210991866265,0.0007245161985289881,330.9678015231918,318.99966456964364,2201.994978198105,2201.994978198105
27,2613.0943426853505,2466.809331712815,0,0,352.63607819362795,0.008064931635574481,0.010455042069816931,0.00029166645947744773,452.4998638324573,306.21485285992173,2160.594478852893,2160.594478852893
28,2668.851498841674,2528.023720871514,0,0,326.7187234692833,0.008003721030806954,0.0010864910918976381,5.110956336228893e-05,601.579198267632,460.7514202974717,2067.272300574042,2067.272300574042
