,Cae,Cbe,Cce,Cde,Q,Ea1,k01,Ea2,k02,V,Ca,Cb,Cc,Cd,T
0,9.936626509716376,3.5778246030593834,0.019074174089645037,0.05378011159715832,0.11455012502003771,53000.0,5000.0,40769.230769230766,50.0,500,7.0624005303461646,0.7035986236891718,2.893300153459857,2.92800609096737,393.7349068588966
1,3.96011212031603,3.985584234832457,0.0007055001960716312,0.0006466156807019674,0.1226073878771956,53000.0,5000.0,40769.230769230766,50.0,500,3.211602237963457,3.2370743524798837,0.7492153825486448,0.7491564980332752,328.3794423832992
2,7.347025645717908,6.724263698980346,0.03126286241729349,0.004392569774166457,0.14109502410157188,53000.0,5000.0,40769.230769230766,50.0,500,3.8650366536060123,3.2422747068684505,3.513251854529189,3.486381561886062,369.9039359510169
3,7.425579564004714,5.698631447217904,0.09915483155789023,0.004191400737546386,0.11856356099407718,53000.0,5000.0,40769.230769230766,50.0,500,6.193616303347884,4.4666681865610744,1.33111809221472,1.2361546613943766,320.1009965497597
4,5.07569726369017,2.16286708154334,0.004645571310388688,0.04803188440483571,0.10002125785279457,53000.0,5000.0,40769.230769230766,50.0,500,3.4013631533826416,0.4885329712358118,1.678979681617917,1.722365994712364,401.2837737610005
5,8.488992162391723,4.394615277692842,0.07834131472785355,0.0036616560855054713,0.10995694779969051,53000.0,5000.0,40769.230769230766,50.0,500,5.0415919758379975,0.9472150911391164,3.525741501281579,3.451061842639231,417.47857209992634
6,7.084401145045444,8.245084541656832,0.016933806437540052,0.01609262515089741,0.13089884662774998,53000.0,5000.0,40769.230769230766,50.0,500,3.277998024758255,4.438681421369643,3.8233369267247284,3.8224957454380855,368.14622142936463
7,4.394906376613948,0.9288352356002435,0.0035763352180995427,0.06265222293789446,0.1184951025857008,53000.0,5000.0,40769.230769230766,50.0,500,3.7533607007677556,0.2872895597540514,0.6451220110642917,0.7041978987840867,372.01638662996555
8,9.819046312352922,2.3353144640544734,0.10069580270025978,0.01583157057884332,0.13581448704829874,53000.0,5000.0,40769.230769230766,50.0,500,7.737330196746462,0.2535983484480135,2.1824119183067197,2.0975476861853033,419.9826871507569
9,9.965906422315642,10.088008453934043,0.10007693087237562,0.0678270324504493,0.13917030693280308,53000.0,5000.0,40769.230769230766,50.0,500,3.706870844682253,3.828972876300653,6.359112508505764,6.326862610083838,423.39576166520465
10,2.6967187814433218,6.579653233880383,0.021084793178275957,0.03806661909238857,0.10896495677232138,53000.0,5000.0,40769.230769230766,50.0,500,0.39518256405990543,4.278117016496967,2.3226210105616913,2.3396028364758044,442.52124980162426
11,10.212962620368542,8.561733795524779,0.0500112736276392,0.09551551523298854,0.14110487462221002,53000.0,5000.0,40769.230769230766,50.0,500,7.593586634208622,5.942357809364859,2.6693872597875585,2.7148915013929074,328.85509093264125
12,7.283508984954326,10.139305304685656,0.004003875354682609,0.002959359872125892,0.15039076184912442,53000.0,5000.0,40769.230769230766,50.0,500,2.967547151671767,5.8233434714030965,4.319965708637243,4.318921193154686,371.19110801787974
13,8.109802111282942,2.5628980112304163,0.10298538055486661,0.03613718158233535,0.09930601286467744,53000.0,5000.0,40769.230769230766,50.0,500,6.019553189511201,0.4726490894586749,2.193234302326608,2.126386103354077,393.79991457578586
14,3.7533182785084076,8.274011138410579,0.019079026902178678,0.003052092967284069,0.13273216405756835,53000.0,5000.0,40769.230769230766,50.0,500,2.7974582822249845,7.318151142127156,0.9749390231856019,0.9589120892507071,322.4363202007273
15,3.9252597696256624,8.144123129398368,0.015140505878253165,0.018880014532547687,0.14775754083287176,53000.0,5000.0,40769.230769230766,50.0,500,1.3704563952438473,5.589319755016553,2.5699438802600683,2.573683388914363,371.8776417563793
16,10.183811424006365,2.7862701097674534,0.05018581323771021,0.03444953383017996,0.12492408293584571,53000.0,5000.0,40769.230769230766,50.0,500,7.8777878861680675,0.48024657192915593,2.356209351076007,2.340473071668477,390.73341367184963
17,0.8354950241041624,3.5965258202943433,0.02022734848085464,0.0508568102189842,0.13238002935414767,53000.0,5000.0,40769.230769230766,50.0,500,0.7270870527267947,3.4881178489169757,0.1286353198582223,0.15926478159635185,320.3672141497908
18,4.014059228035359,6.615510887716152,0.09903243712610804,0.0205147063579557,0.09759973018971521,53000.0,5000.0,40769.230769230766,50.0,500,1.18384168312844,3.785293342809233,2.929249982033027,2.8507322512648745,396.39623417625194
19,8.763953980265029,6.703082558591321,0.04612169855469411,0.0876332773376492,0.09887700327059928,53000.0,5000.0,40769.230769230766,50.0,500,3.9946713836220527,1.9337999619483448,4.815404295197671,4.8569158739806255,429.3459453442133
20,3.7187327961943404,4.406300584670729,0.06885642048371594,0.0016881591881183458,0.10618113880892607,53000.0,5000.0,40769.230769230766,50.0,500,1.035383241953346,1.7229510304297342,2.7522059747247107,2.685037713429113,469.63975135510026
21,4.2360121963600115,4.428265095605191,0.07886001378362863,0.03318227280945745,0.11782642365367023,53000.0,5000.0,40769.230769230766,50.0,500,3.318115150938956,3.5103680501841357,0.9967570592046837,0.9510793182305125,329.6518822332031
22,4.01256260765612,0.7762621179701646,0.03178546287439843,0.04971902576710628,0.12674369655750414,53000.0,5000.0,40769.230769230766,50.0,500,3.360475809858621,0.124175320172666,0.6838722606718971,0.701805823564605,404.12378463997203
23,5.326119632725198,10.055352736973969,0.0630186368264915,0.05190431512297893,0.09868497009905067,53000.0,5000.0,40769.230769230766,50.0,500,2.650971327000764,7.380204431249535,2.7381669425509254,2.7270526208474126,340.88164221271495
